datum_tijd,levering,teruglevering,netto
1,19.09709677419355,1.0980645161290323,17.999032258064517
2,18.4925,4.020714285714286,14.471785714285714
3,13.607741935483872,12.768709677419354,0.8390322580645163
4,11.306666666666667,14.019,-2.712333333333333
5,7.86483870967742,17.047096774193548,-9.182258064516128
6,6.238,20.016666666666666,-13.778666666666668
7,7.5764516129032256,16.712903225806453,-9.136451612903226
8,8.519032258064515,16.331612903225807,-7.81258064516129
9,11.005333333333335,10.471,0.5343333333333334
10,13.941612903225806,5.354193548387096,8.587419354838708
11,19.096999999999998,1.8893333333333333,17.207666666666668
12,23.46967741935484,0.7883870967741936,22.681290322580644
